altitude_km,density_wfs_kg_m3,density_wrs_kg_m3,ratio_wfs_over_wrs
100.0,NaN,NaN,NaN
110.0,8.360490299622804e-8,8.316926091121013e-8,1.0052380179918032
120.0,1.9417160888459912e-8,1.9366738943964274e-8,1.0026035330285357
130.0,8.592088433030875e-9,8.579889270254257e-9,1.0014218321929762
140.0,4.484701628300873e-9,4.482658832083142e-9,1.000455710839092
150.0,2.494021195924293e-9,2.494727741864216e-9,0.999716784349624
160.0,1.4319112982607974e-9,1.4326061868694505e-9,0.999514947921472
170.0,8.779411121277194e-10,8.781907459659097e-10,0.999715740755255
180.0,5.857699391419937e-10,5.858082417335613e-10,0.9999346158199238
190.0,4.171527802960696e-10,4.171530023126655e-10,0.9999994677813784
200.0,3.1107203046436455e-10,3.1108429829527697e-10,0.9999605642876235
210.0,2.4041956494545613e-10,2.4043480258081865e-10,0.9999366246683136
220.0,1.897861001911193e-10,1.898030309739819e-10,0.999910798142813
230.0,1.519537217820018e-10,1.5196672532374666e-10,0.9999144316512897
240.0,1.2299557980600696e-10,1.2300115864197852e-10,0.9999546440372339
250.0,1.0060728254618135e-10,1.0060140539514092e-10,1.00005842016836
260.0,8.289318811686232e-11,8.288036494556318e-11,1.0001547190496514
270.0,6.865761061901296e-11,6.863895893604791e-11,1.0002717360993547
280.0,5.7198549798023274e-11,5.717412493157728e-11,1.0004272014040483
290.0,4.788906119999362e-11,4.786226664052981e-11,1.0005598263798297
300.0,4.024078674371484e-11,4.021276053071456e-11,1.0006969482480288
310.0,3.397125780213794e-11,3.3942565468081936e-11,1.000845320135951
320.0,2.8776097300689713e-11,2.8748522125025294e-11,1.0009591858511717
330.0,2.4454525989365632e-11,2.4428133924850243e-11,1.0010803962593533
340.0,2.0859670334419922e-11,2.083547440615515e-11,1.0011612852096914
350.0,1.7838220393246458e-11,1.7816263988259307e-11,1.001232379863793
